tk_number,address,lat,lng,offices
660,"Московская область, МО, Одинцово, Можайское ш., 1А",55.6692904,37.2572224,"Величкин,Величкин2"
661,"Московская область, МО, Видное, Березовая ул, 1А",55.5471810,37.7193370,""
664,"Московская область, МО, Лопатино, Солнечный бул., 2",55.5335999,37.6450551,"Кунец"
665,"Московская область, МО, Долгопрудный, Лихачёвский пр., 64",55.9224710,37.5227489,""
667,"Московская область, Нахабино, Школьная ул., 2",55.8418091,37.1459022,"Величкин,Величкин2,Максутов,Матюшев,Мелкумян"
669,"Московская область, МО, Балашиха, Энтузиастов ш., 11/4",55.7873098,37.8865562,"Мелкумян"
670,"Московская область, Трехгорка, ул. Трехгорная, 6",55.6968700,37.3366482,""
673,"Москва, Москва, Беломорская улица, 16а",55.8625307,37.4712674,"Величкин2,Мелкумян"
675,"Москва, Москва, Юных Ленинцев улица, 52",55.6997925,37.7654432,"Величкин2,Мелкумян"
680,"Москва, Москва, Зои и Александра Космодемьянских улица, 23",55.8239895,37.5180841,""
686,"Москва, Москва, Кавказский бульвар, 17",55.6309295,37.6706802,""
519,"Москва, 77, г. Москва, Прокатная ул., д.2",55.7599166,37.8360518,""
1303,"Москва, 77, г. Москва, Берников пер., д.2",55.7485089,37.6500897,""
514,"Москва, 77, г. Москва, Волгоградский пр-кт,д.73,стр.1",55.7505412,37.6174782,""
520,"Москва, Москва, Зеленый пр-т, д. 24, стр. 1",55.2268903,36.1015708,"Максутов"
527,"Москва, 77, г. Москва, ул. Перовская, д.32, стр.1",55.7505412,37.6174782,""
1307,"Москва, Армавирская ул., д. 5",55.6745286,37.7526250,"Величкин2"
1308,"Москва, Кантемировская ул., д. 17",55.6383636,37.6579670,""
1309,"Москва, Тихорецкий б-р, д. 12, корп. 1",54.9757141,73.3251893,""
1310,"Москва, Люблинская ул., д. 59",55.6860248,37.7380191,""
1311,"Москва, Воронежская ул., д. 7",55.6103180,37.7323775,""
1313,"Москва, Изюмская ул., д. 36",55.5475438,37.5659652,""
1314,"Москва, Краснодарская ул., д. 57, корп. 1",55.6768533,37.7382744,""
1316,"Москва, Бауманская ул., д. 32, стр. 2",55.7724333,37.6785816,""
1320,"Москва, Генерала Тюленева ул., д. 4А, стр. 3",55.7505412,37.6174782,"Мелкумян"
1321,"Москва, Кантемировская ул., д. 20, корп. 1",55.6385506,37.6467213,""
515,"Москва, Талалихина ул., д. 3",55.5070517,37.5814274,""
1324,"Москва, Ленинградское ш., д. 58, к. 26",55.9249228,37.3867560,""
1326,"Москва, Линия Октябрьской ж/д ул., д. 2, к. 2",55.7505412,37.6174782,""
1329,"Москва, Уральская ул., д. 3",55.8231322,37.8058277,""
1331,"Москва, Широкая ул., д. 12",55.8878182,37.6517276,"Кунец,Тураров2"
1332,"Москва, Братиславская ул., д. 30",55.6631858,37.7545021,""
1333,"Москва, Белозерская ул., д. 11Г",55.8982574,37.6111632,""
1334,"Москва, Борисовские пруды ул., д. 14, к. 5",55.7505412,37.6174782,""
1335,"Москва, Маршала Жукова пр-т, д. 42, к. 1",55.7505412,37.6174782,""
1336,"Москва, Хромова ул., д. 3",55.8012509,37.7256638,""
1337,"Москва, Подольских Курсантов ул., 10",55.6080826,37.6159538,"Величкин2,Мелкумян"
1338,"Москва, Генерала Белова ул., д. 59",55.6241623,37.7156552,""
1339,"Москва, Москва, Бутырский вал, 28",55.7827607,37.5869386,""
1340,"Москва, Академика Капицы ул., д. 28",55.6259818,37.5264637,""
1341,"Москва, Боровское ш 37 к 2",55.6395409,37.3613304,""
1342,"Москва, Обручева ул., д. 55 А",55.6504855,37.5565345,"Максутов"
1343,"Москва, Россошанский пр-д, д. 8, корп. 1",55.7505412,37.6174782,"Величкин2"
1345,"Москва, 77, г. Москва, ул. Кировоградская, д. 9А",55.5985609,37.5974548,""
1346,"Москва, Мичуринский пр-т, Олимпийская деревня, д. 4, к. 3",55.7505412,37.6174782,"Тураров2"
1347,"Москва, Гарибальди ул., д. 4 Г",55.6688122,37.5578030,""
1348,"Москва, Волжский б-р, 114А, 10",55.5744013,37.1426950,""
1349,"Москва, Озерная ул., д. 42",55.6745066,37.4512398,""
1351,"Москва, Народного ополчения ул., д. 29, стр. 1",55.7924311,37.4914667,""
1352,"Москва, 15-я Парковая ул., д. 40, к. 1",55.7902712,37.8193799,"Мелкумян,Тысленко"
1358,"Москва, Адмирала Лазарева ул., д. 62",55.5414067,37.5131512,""
